row_number,project,authorship,backfill_years,min_pub_years,group_by_all,region,year,y_pop,country_iso_a2,in_y_flow_INT,out_y_flow_INT,in_y_flow_IN,out_y_flow_IN,net_y_flow_INT,abs_inout_INT,sum_inout_INT,net_y_flow_IN,abs_inout_IN,sum_inout_IN,nmr_IN,nmr_INT
25121,Subnational,OpenAlex,1,2,true,SA.17,2019.0,480,SA,45,33,18,13,12,12,78,5,5,31,10.416666666666666,25.0
25122,Subnational,OpenAlex,1,2,true,MX.20,2011.0,126,MX,13,6,13,11,7,7,19,2,2,24,15.873015873015873,55.55555555555556
25123,Subnational,OpenAlex,1,2,true,IT.05,1989.0,1692,IT,32,30,73,77,2,2,62,-4,4,150,-2.3640661938534278,1.1820330969267139
25124,Subnational,OpenAlex,1,2,true,AU.03,2011.0,404,AU,42,23,43,25,19,19,65,18,18,68,44.554455445544555,47.02970297029703
25125,Subnational,OpenAlex,1,2,true,BR.11,2018.0,2606,BR,75,61,400,316,14,14,136,84,84,716,32.233307751343055,5.372217958557176
25126,Subnational,OpenAlex,1,2,true,IQ.08,2017.0,280,IQ,17,9,6,3,8,8,26,3,3,9,10.714285714285714,28.571428571428573
25127,Subnational,OpenAlex,1,2,true,JP.28,1993.0,475,JP,11,4,48,55,7,7,15,-7,7,103,-14.736842105263158,14.736842105263158
25128,Subnational,OpenAlex,1,2,true,JP.33,2014.0,678,JP,8,18,100,92,-10,10,26,8,8,192,11.799410029498524,-14.749262536873156
25129,Subnational,OpenAlex,1,2,true,FI.01,2017.0,11523,FI,436,530,283,306,-94,94,966,-23,23,589,-1.996007984031936,-8.157597847782695
25130,Subnational,OpenAlex,1,2,true,IR.07,2021.0,5096,IR,74,129,498,501,-55,55,203,-3,3,999,-0.5886970172684458,-10.792778649921507
25131,Subnational,OpenAlex,1,2,true,CN.23,2002.0,8270,CN,428,383,578,599,45,45,811,-21,21,1177,-2.539298669891173,5.4413542926239415
25132,Subnational,OpenAlex,1,2,true,CN.25,2017.0,16792,CN,357,318,2429,2485,39,39,675,-56,56,4914,-3.3349213911386375,2.3225345402572652
25133,Subnational,OpenAlex,1,2,true,NL.03,1982.0,320,NL,11,2,4,4,9,9,13,0,0,8,0.0,28.125
25134,Subnational,OpenAlex,1,2,true,KZ.05,2018.0,1069,KZ,71,53,26,14,18,18,124,12,12,40,11.225444340505145,16.838166510757716
25135,Subnational,OpenAlex,1,2,true,GB.SCT,1993.0,4909,GB,327,320,153,179,7,7,647,-26,26,332,-5.296394377673661,1.425952332450601
25136,Subnational,OpenAlex,1,2,true,JP.11,1979.0,400,JP,5,2,35,28,3,3,7,7,7,63,17.5,7.5
25137,Subnational,OpenAlex,1,2,true,JP.18,2004.0,1086,JP,15,28,102,106,-13,13,43,-4,4,208,-3.6832412523020257,-11.970534069981584
